Determiner	Clothing	Covers
	high-waisted pants	waist, legs
a	hipbop outfit	torso, arms, legs
a	hippy shirt	torso, arms
a	hockey jersey	torso, arms
a	hockey mask	face
a	hockey mom blouse	torso, arms
a	Hogwarts uniform	torso, arms, legs
a	Homburg	head
	home-made clothes	torso, arms, legs
a	hooded cloak	back
a	hoodie	torso, arms, head
	hoody and jeans	torso, arms, head, legs
a	horned helmet	head
	hot pants	legs
	hunting clothes	torso, arms, legs
	hunting gear	torso, arms, legs
an	ill-fitting coat	torso, arms
an	ill-fitting jacket	torso, arms
an	ill-fitting suit	torso, arms, legs
	Inca pattern sweatpants	legs
a	jewelled brocade doublet	torso, arms
	Jimmy Choo shoes	feet
	jodhpurs	legs
a	jumpsuit	torso, arms, legs
	K-Mart clothes	torso, arms, legs
a	Kentucky bow tie	neck
a	khaki jumpsuit	torso, arms, legs
a	khaki safari suit	torso, arms, legs
	khaki trousers	legs
	khakis	legs
	kiddie dentures	teeth
	kitchen whites	torso, arms, legs
a	Kleenex boxes as shoes	feet
	knee-breeches	legs
	knee-high boots	feet
	knee-high stiletto boots	feet
	knee-length boots	feet
a	knitted cardigan	torso, arms
	Kung-fu pyjamas	torso, arms, legs
a	Kurt Cobain T-shirt	torso, arms
	leather armor	torso, arms, legs
a	leather bodysuit	torso, arms, legs
	leather chaps	legs
	leather elbow patches	arms
a	leather flight jacket	torso, arms
a	leather jacket	torso, arms
a	leather jerkin	torso, arms
a	leather loin cloth	waist, legs
a	leather motorcycle jacket	torso, arms
	leather pants	legs
a	leather suit	torso, arms, legs
a	leather trenchcoat	torso, arms
	Lee 101 Riders jeans	legs
	Levi's jeans	legs
a	Linux T-shirt	torso, arms
a	little black dress	torso, arms, legs
a	loin cloth	waist, legs
a	long greatcoat	torso, arms
	long hair	head
a	long red cape and leather breeches	legs, back
a	long robe	torso, arms
a	long white beard	chin
a	long-horned helmet	head
a	loud shirt	torso, arms
a	low-cut dress	torso, arms
a	low-cut dress with pinched waist	torso, arms
a	low-cut T-shirt	torso, arms
a	lush Arabian mustache	lip
a	lycra Starfleet uniform	torso, arms, legs
a	Madiba shirt	torso, arms
a	male corset	torso
	manacles	hands
	Manolo Blahniks	feet
a	Mao suit	torso, arms, legs
a	Marco Polo neck	torso, arms
a	Mardi Gras costume	torso, arms, legs, head
a	Marie Antoinette dress	torso, arms, legs
a	Marine crew cut	head
a	Marshal's uniform	torso, arms, legs
a	Mayoral chain	neck
a	Mayoral sash	chest
a	McDonald's shirt	torso, arms
a	meringue-shaped wig	head
a	Mickey Mouse watch	hands
	military fatigues	torso, arms, legs
a	military tank top	torso, arms
a	miniskirt	legs
a	Mithril vest	torso
a	Mohawk haircut	head
a	Moire pattern jacket	torso, arms
a	mop top	head
a	Mork & Mindy T-shirt	torso, arms
a	dress with white pointed collar 	torso, arms, legs, neck
a	muscle top and dark goggles	torso, arms, eyes
a	muumuu	torso, legs
a	Nazi pin	chest
a	Nazi uniform	torso, arms, legs
a	neckruff	neck
a	Nehru jacket	torso, arms
a	Nehru jacket jumpsuit	torso, arms, legs
	Nike Air Mags	feet
a	ninja suit	torso, arms, legs
	Oakley Mars Sunglasses	eyes
a	lieutenant's uniform	torso, arms, legs
	old jeans	legs
	old man pants	legs
an	onion necklace	chest, neck
an	open-necked Oxford shirt	torso, arms
an	orange dress	torso, arms, legs
	orange overalls	torso, arms, legs
an	oriental robe	torso, arms
an	Oswald Boateng designer suit	torso, arms, legs
an	over-sized suit	torso, arms, legs
an	over-sized shirt	torso, arms
	over-sized sunglasses	eyes
	Oxford shoes	feet
	Padawan braids	head
a	pageboy uniform	torso, arms, legs
a	Pagliacci clown suit	torso, arms, legs
a	paint-stained smock	torso, arms
a	pant suit	torso, arms, legs
a	pashmina	shoulders
a	peaked cap	head
a	pencil skirt	legs, waist
	pig lipstick	lip
a	pinafore	torso
a	pink Angora sweater	torso, arms
a	pink bathrobe	torso, arms
a	pink tie	neck
a	plaid pant suit	torso, arms, legs
	platform shoes	feet
	pointy ears	ears
a	police uniform	torso, arms, legs
a	polo neck	torso, arms
a	poncho	torso, arms
a	porkpie hat	head
a	powdered wig	head
a	prayer shawl	shoulders
	Prince Albert slippers	feet
a	Princeton blazer	torso, arms
	prison stripes	torso, arms, legs
	prison fatigues	torso, arms, legs
a	provocative T-shirt	torso, arms
a	psychedelic T-shirt	torso, arms
a	purple musketeer outfit	torso, arms, legs
a	purple suit	torso, arms, legs
a	purple topcoat	torso, arms
a	purple velvet jacket	torso, arms
a	purple velvet riding gown	torso, arms
a	raccoon-skin cap	head
a	racing helmet	head
a	radiation suit	torso, arms, legs
	ragged dungarees	legs
a	ragged tunic	torso, arms
a	red and yellow clown suit	torso, arms, legs
	red and yellow tights	legs
a	red bandanna	head
a	red bodywarmer Jacket	torso, arms
a	red bow tie	neck
	red braces	chest
	red camera lens	eyes
a	red chiffon scarf	neck
	red dungarees	chest, legs
	red epaulets on a green tunic	shoulders, torso, arms
	red face-paint	face
a	red Hawaiian shirt	torso, arms
a	red leather Jacket	torso, arms
a	red leather suit	torso, arms, legs
a	red pearl necklace	neck
a	red robe	torso, arms
	red shorts	legs, waist
a	red soutane	torso, arms, legs
a	red suit	torso, arms, legs
	red suspenders	chest
a	red swimsuit	legs, waist
a	red tie	neck
	red trunks	legs, waist
a	red wig	head
a	redcoat	torso, arms
a	regal robe	torso, arms
a	Renaissance tunic	torso, arms
	riding breeches and boots	legs, feet
	ripped jeans	legs
a	rose-colored cloak	back
	ruby red slippers	feet
a	rumpled trenchcoat	torso, arms
a	running blades	feet
	running shoes	feet
	running shorts	legs, waist
a	sable hat	head
a	safari suit	torso, arms, legs
a	safari-style utility jacket	torso, arms
a	sailor hat	head
a	sailor suit	torso, arms, legs
